2015-03-12 13:49:27,695 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: licenta:licenta-model:0.1 @ /home/churmuzache/personal/Licenta_Cristi/LicentaCSIE/trunk/Licenta/licenta-model/pom.xml.
2015-03-12 13:49:28,415 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /licenta-model/src/main/java
2015-03-12 13:49:28,416 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /licenta-model/src/test/java
2015-03-12 13:49:28,553 [Worker-2] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 2 sec
2015-03-12 13:49:29,835 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: licenta:licenta-model:0.1 @ /home/churmuzache/personal/Licenta_Cristi/LicentaCSIE/trunk/Licenta/licenta-model/pom.xml.
2015-03-12 13:49:35,581 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: licenta:licenta-model:0.1 @ /home/churmuzache/personal/Licenta_Cristi/LicentaCSIE/trunk/Licenta/licenta-model/pom.xml.
2015-03-12 13:49:35,883 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-12 13:49:35,883 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/churmuzache/personal/Licenta_Cristi/LicentaCSIE/trunk/Licenta/licenta-model/src/main/resources
2015-03-12 13:49:35,885 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-12 13:49:35,886 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/churmuzache/personal/Licenta_Cristi/LicentaCSIE/trunk/Licenta/licenta-model/src/test/resources
2015-03-12 13:49:37,742 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: licenta:licenta-model:0.1 @ /home/churmuzache/personal/Licenta_Cristi/LicentaCSIE/trunk/Licenta/licenta-model/pom.xml.
2015-03-12 13:49:38,918 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-12 13:49:38,919 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/churmuzache/personal/Licenta_Cristi/LicentaCSIE/trunk/Licenta/licenta-model/src/main/resources
2015-03-12 13:49:38,920 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
